COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,FRACTION_POP,WEIGHTED_DEATHS_100K,AGE_MIDPOINT,WEIGHTED_AGE,GENDER_RATIO
Germany,DEU,MLE,YEARS10-14,0.023602727,0.141616359,12,0.283232719,0.975896242
Germany,DEU,MLE,YEARS1-4,0.019396208,0.215297909,2.5,0.04849052,0.975896242
Germany,DEU,MLE,YEARS15-19,0.025899743,0.585334184,17,0.440295625,0.975896242
Germany,DEU,MLE,YEARS20-24,0.028452766,0.973084611,22,0.625960861,0.975896242
Germany,DEU,MLE,YEARS25-29,0.030394789,1.100291366,27,0.820659306,0.975896242
Germany,DEU,MLE,YEARS30-34,0.033680166,1.758104682,32,1.077765322,0.975896242
Germany,DEU,MLE,YEARS35-39,0.032466306,2.600551138,37,1.201253335,0.975896242
Germany,DEU,MLE,YEARS40-44,0.030084397,3.640212083,42,1.26354469,0.975896242
Germany,DEU,MLE,YEARS45-49,0.032624298,6.544434187,47,1.533342008,0.975896242
Germany,DEU,MLE,YEARS50-54,0.04128732,14.62396873,52,2.146940638,0.975896242
Germany,DEU,MLE,YEARS55-59,0.040085817,24.48040828,57,2.284891554,0.975896242
Germany,DEU,MLE,YEARS5-9,0.023092052,0.124697083,7,0.161644367,0.975896242
Germany,DEU,MLE,YEARS60-64,0.033240172,34.44014253,62,2.060890683,0.975896242
Germany,DEU,MLE,YEARS65-69,0.026680541,41.32815857,67,1.787596271,0.975896242
Germany,DEU,MLE,YEARS70-74,0.02150537,49.50751295,72,1.548386661,0.975896242
Germany,DEU,MLE,YEARS75-79,0.020128346,70.05469547,77,1.549882643,0.975896242
Germany,DEU,MLE,YEARS80-84,0.015988664,95.6250026,82,1.311070461,0.975896242
Germany,DEU,MLE,YEARS85PLUS,0.010190052,129.5389917,88,0.896724532,0.975896242
India,IND,FMLE,YEARS0-1,0.008332581,23.31539565,0.5,0.004166291,1.082039246
India,IND,FMLE,YEARS10-14,0.044036846,2.122575967,12,0.528442149,1.082039246
India,IND,FMLE,YEARS1-4,0.032355539,5.270717304,2.5,0.080888848,1.082039246
India,IND,FMLE,YEARS15-19,0.043298897,3.60246825,17,0.736081253,1.082039246
India,IND,FMLE,YEARS20-24,0.041948437,4.794706336,22,0.922865612,1.082039246
India,IND,FMLE,YEARS25-29,0.040309517,4.825049206,27,1.088356964,1.082039246
India,IND,FMLE,YEARS30-34,0.038654193,5.287893536,32,1.236934161,1.082039246
India,IND,FMLE,YEARS35-39,0.035494179,6.026911542,37,1.313284612,1.082039246
India,IND,FMLE,YEARS40-44,0.031202728,7.507376256,42,1.310514558,1.082039246
India,IND,FMLE,YEARS45-49,0.027693007,9.074998518,47,1.301571347,1.082039246
India,IND,FMLE,YEARS50-54,0.024112668,15.40799499,52,1.253858747,1.082039246
India,IND,FMLE,YEARS55-59,0.020817365,18.35883408,57,1.186589798,1.082039246
