COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,DEATHS
Poland,POL,Female,YEARS 35-39,817
Poland,POL,Female,YEARS 40-44,1239.6
Poland,POL,Female,YEARS 45-49,1901.7
Poland,POL,Female,YEARS 50-54,2888.7
Poland,POL,Female,YEARS 55-59,5535.1
Poland,POL,Female,YEARS 05-09,52
Poland,POL,Female,YEARS 60-64,10290.8
Poland,POL,Female,YEARS 65-69,14425.6
Poland,POL,Female,YEARS 70-74,16331.2
Poland,POL,Female,YEARS 75-79,15967.1
Poland,POL,Female,YEARS 80-84,28350
Poland,POL,Female,YEARS 85+,75534.7
Poland,POL,Male,YEARS 0-01,750.2
Poland,POL,Male,YEARS 10-14,107.1
Poland,POL,Male,YEARS 01-04,111
Poland,POL,Male,YEARS 15-19,293.8
Poland,POL,Male,YEARS 20-24,755.9
Poland,POL,Male,YEARS 25-29,1162.8
Poland,POL,Male,YEARS 30-34,1780.4
Poland,POL,Male,YEARS 35-39,2654.1
Poland,POL,Male,YEARS 40-44,3512.2
